Região;5 a 14 anos;15 a 24 anos;25 a 34 anos;35 a 44 anos;45 a 54 anos;55 a 64 anos;65 a 74 anos;75 anos e mais;Idade ignorada;Total;Ano
1 Região Norte;1.0;5;37;51;139;254;276;282;1.0;1046;2013
2 Região Nordeste;;10;67;195;424;598;840;976;1.0;3111;2013
3 Região Sudeste;;13;104;297;822;1441;1814;2310;2.0;6803;2013
4 Região Sul;;2;32;105;283;529;668;804;;2423;2013
5 Região Centro-Oeste;;5;19;45;114;178;230;208;;799;2013
Total;1.0;35;259;693;1782;3000;3828;4580;4.0;14182;2013
1 Região Norte;;4;24;76;175;243;306;279;;1109;2014
2 Região Nordeste;1.0;14;66;193;407;679;800;990;;3150;2014
3 Região Sudeste;;13;91;274;711;1455;1727;2285;3.0;6559;2014
4 Região Sul;;2;29;103;281;558;656;756;;2385;2014
5 Região Centro-Oeste;;1;19;66;108;182;239;210;;825;2014
Total;1.0;34;229;712;1682;3117;3728;4520;3.0;14028;2014
1 Região Norte;;6;23;70;161;238;332;285;;1115;2015
2 Região Nordeste;;12;74;203;417;675;888;1036;;3305;2015
3 Região Sudeste;1.0;15;79;324;731;1502;1677;2234;1.0;6564;2015
4 Região Sul;;6;30;98;313;533;670;794;;2445;2015
5 Região Centro-Oeste;;1;18;49;113;192;212;251;;836;2015
Total;1.0;40;224;744;1735;3140;3779;4600;1.0;14265;2015
1 Região Norte;;5;35;81;143;296;346;311;;1217;2016
2 Região Nordeste;2.0;24;72;213;444;687;861;1025;;3328;2016
3 Região Sudeste;;13;85;282;756;1478;1869;2267;1.0;6751;2016
4 Região Sul;;5;33;108;284;542;691;804;;2467;2016
5 Região Centro-Oeste;;3;19;60;110;217;229;250;;888;2016
Total;2.0;50;244;744;1737;3220;3996;4657;1.0;14651;2016
1 Região Norte;;8;32;95;170;288;316;313;;1222;2017
2 Região Nordeste;;12;54;202;416;659;866;1094;;3304;2017
3 Região Sudeste;;13;80;252;695;1424;1741;2274;1.0;6481;2017
4 Região Sul;;4;25;94;300;519;686;777;;2405;2017
5 Região Centro-Oeste;;3;23;55;120;206;216;279;;902;2017
Total;;40;214;698;1701;3096;3825;4737;1.0;14314;2017
1 Região Norte;;4;24;99;181;288;308;321;1.0;1226;2018
2 Região Nordeste;;3;67;227;414;736;924;1128;;3499;2018
3 Região Sudeste;;11;92;287;692;1452;1814;2235;1.0;6584;2018
4 Região Sul;;4;37;109;232;587;763;858;1.0;2591;2018
5 Região Centro-Oeste;1.0;1;12;55;102;193;234;264;;862;2018
Total;1.0;23;232;777;1621;3256;4043;4806;3.0;14762;2018
1 Região Norte;;4;29;84;171;296;335;343;;1262;2019
2 Região Nordeste;;16;66;209;437;785;941;1189;;3643;2019
3 Região Sudeste;;13;86;281;700;1478;1869;2354;;6781;2019
4 Região Sul;;4;21;105;265;587;774;797;;2553;2019
5 Região Centro-Oeste;;3;17;45;112;184;233;278;;872;2019
Total;;40;219;724;1685;3330;4152;4961;;15111;2019
1 Região Norte;;2;26;97;146;274;298;354;;1197;2020
2 Região Nordeste;;9;68;208;419;709;895;1033;;3341;2020
3 Região Sudeste;1.0;15;81;260;622;1357;1640;2099;;6075;2020
4 Região Sul;;6;31;119;235;532;710;756;;2389;2020
5 Região Centro-Oeste;;4;25;52;91;205;220;251;;848;2020
Total;1.0;36;231;736;1513;3077;3763;4493;;13850;2020
1 Região Norte;;10;22;111;158;283;310;318;;1213;2021
2 Região Nordeste;;12;68;232;413;730;871;1036;1.0;3364;2021
3 Região Sudeste;;16;91;305;645;1347;1799;2125;;6328;2021
4 Região Sul;;8;27;106;268;583;754;783;;2529;2021
5 Região Centro-Oeste;;1;18;65;95;183;236;228;;826;2021
Total;;47;226;819;1579;3126;3970;4490;1.0;14260;2021
1 Região Norte;;5;30;104;173;301;367;321;;1301;2022
2 Região Nordeste;1.0;12;77;195;440;733;950;1109;2.0;3519;2022
3 Região Sudeste;;9;81;263;651;1347;1787;2103;;6241;2022
4 Região Sul;;2;24;93;224;532;754;782;;2411;2022
5 Região Centro-Oeste;;1;16;43;121;195;201;291;;868;2022
Total;1.0;29;228;698;1609;3108;4059;4606;2.0;14340;2022
1 Região Norte;;6;37;83;191;296;366;340;;1319;2023
2 Região Nordeste;;9;88;239;454;810;969;1173;;3743;2023
3 Região Sudeste;1.0;13;85;294;644;1234;1834;2245;4.0;6354;2023
4 Região Sul;;1;32;114;239;538;757;835;;2516;2023
5 Região Centro-Oeste;;2;18;55;102;188;255;272;;892;2023
Total;1.0;31;260;785;1630;3066;4181;4865;4.0;14824;2023
